field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
1,4,,200,,0.5,5.5,0.25,,,241.6,,0.5,,10.4,,1950,0.5,,,,,4.25,,4.4,,,910,830,0.015,,,3.7,82,150,110,,,,,,0.05,0.05,,,1,0.288,,1.31,,1.598,0.5,0.55,,4.56,1,4.7,2.5
2,6,,443,,0.5,31,0.25,,,1.6,,0.5,,3.78,,837,0.5,,,,,1.1899,,1.65,,,,12,0.015,,,1,1.95,3,200,,,,,,,1.9,,,7.6,0.1,,0.167,,0.267,0.5,0.5,,15.4,1,1.31,2.5
3,11,,259,,0.5,16,0.25,,,54.4,,0.5,,16.2,,1042,0.5,,,,,,,3.21,,,,228,0.015,,,2.5,22.37,130,150,,,,,,,1.4,,,1,0.457,,1.24,,1.697,0.5,0.5,,15.7,1,7.41,2.5
4,17,,325,,5,20,1,,0.2,270,,1,,14.1,,2600,13.9,,6.3,,,7.85,,6.58,,,1100,830,0.066,,,7.69,120,2000,140,,,,,,0.1,0.267,,100,3.3,1.19,,3.71,,3.44,7.34,37.7,,7.6,5,10.1,1.5
5,18,,266,,0.5,18,0.25,,,4.8,,0.5,,14.9,,617,0.5,,,,,,,0.358,,,,6,0.015,,,1,0.25,3.6,150,,,,,,,1.1,,,1,0.09,,-0.125,,1.09,0.5,0.5,,18.1,1,0.85,2.5
6,29,,199,175,0.5,18,0.25,213,,14.4,,0.5,,5.43,1.9,1410,0.5,,,,,5.27,11,5.59,3.3,2.7,60,68,0.015,1.00E-05,,2.4,7.78,18,230,8.7,83,,0,0.21,0.05,0.05,0,,1,0.996,,1.04,,2.036,0.5,0.5,975,5.2,1,12.4,2.5
7,39,,235,,0.5,12,0.25,,,36,,0.5,,6.61,,1631,0.5,,,,,3.5113,,1.46,,,,180,0.015,,,2.6,21.89,92,320,,,,,,,1.3,,,1,0.33,,1.01,,1.34,0.5,0.5,,,1,9.67,2.5
8,43,,195,,0.71,6.7,0.25,,,324,,0.5,,10.5,,2890,0.5,,,,,0.895,,13.8,,,1500,1040,0.015,,,5.3,174.1,310,140,,,,,,0.05,0.05,,,1,1.19,,3.73,,4.92,0.5,0.83,,3.7,1,11.2,0.38
9,49,,,525,,,,600,,4.25,33,,,21.5,1.95,,,,,,,,,,,,13,,,,,1,0.55,,600,74,99,,1.5,,,,,,,,,,,,,,2570,,,,
10,53,,,279,,,,340,,120,0,,,22,14,,,,,,,,,,,,500,,,3.00E-05,,,49,,,,,490,0.2,,,,,,,,,,,,,,2750,,,,
11,55,,,197.5,,,,225,,109,8,,,8.15,8.75,,,,,,,,,,,,395,,,2.00E-05,,1,30.5,,160,3.8,51,220,0.62,,,,,,,,,,,,,,1300,,,,
12,63,176,169,172,5,41,1,210.5,,28.6,1,1,,5.27,2.9,1311,1,,3.58,,,14.016,,10.8,,,119,116,0.066,1.00E-05,,2.685,11.1,130,245.5,10.1,46.5,,0.132,0.42,,0.05,,-38,3.3,1.94,,6.4,,8.34,3,5,1340,16.5,5,17.85,2.5
13,75,,223,,0.5,16,0.25,,,54,,0.5,,2.7,,806,0.5,,,,,-0.501,,5.1,,,220,232,0.015,,,2.8,25.54,1,99,,,,,,0.05,0.05,,,1,0.486,,2.54,,3.026,0.5,0.5,,,1,9.94,2.5
14,81,,,,1,55,1,,,67,,1,,,,,20,,5,0.471,,,,,,,,,,,,2.2,14,2,130,,,,,,,4.2,,,1,,,,,,,7,,24.7,,0,31
15,84,,109,,0.91,130,0.25,,,54,,0.5,,17.5,,380,0.53,,,,,5.03,,2.85,,,170,312,0.015,,,2.6,43.53,5.4,10,,,,,,0.05,3.8,,,1,0.546,,0.317,,0.863,0.5,1.1,,8.3,1,9.43,3.3
16,86,,155,,0.5,2,0.25,,,0,,0.5,,1.3,,388,5.3,,,,,3.15,,2.86,,,,4,0.015,,,1,0.97,2.9,95,,,,,,0.05,0.05,,,2.2,0.259,,0.463,,0.722,0.5,0.5,,1.35,1,2.06,2.5
17,87,,190,,0.58,290,0.25,,,78,,0.5,,27.5,,529,0.5,,,,,281,,105,,,240,220,0.14,,,1.3,10.87,12,20,,,,,,0.05,0.79,,,1.4,9.39,,0.175,,9.565,0.5,82,,7.03,1,4.09,260
18,88,,75,,0.88,61,0.25,,,29,,0.5,,1.09,,174,1,,,,,5.81,,8.77,,,82,88,0.015,,,3.4,4.74,8.6,2.5,,,,,,0.05,1.6,,,1.7,0.378,,1.7,,2.078,0.5,0.6,,8.2,1,36.7,2.5
19,93,,287,,2.2,33,0.25,,,9.6,,0.5,,15.9,,958,0.5,,,,,35.4,,25,,,39,40,0.015,,,6.7,4,3.5,230,,,,,,0.05,1.2,,,1,0.2,,1.56,,1.76,0.5,27,,8.3,1,1.01,54
20,96,,586,,11,450,1,635,0.234,74,,6,,20.8,,1430,1,,3.05,,,,,5,,,,276,0.066,,,2.54,22.37,100,223,,,,0.2,,0.1,7,,86,3.58,1.2,,4.58,,1.067,3,10.2,,16.25,5,15.3705,700
21,98,,112,,7.5,8.4,0.25,,,3.2,,0.5,,11,,399,0.59,,,,,25.3,,7.21,,,4.6,8,0.015,,,1.1,0,5.4,89,,,,,,0.05,0.05,,,4.3,0.436,,1.25,,1.686,0.5,12,,6.5,1,13.8,25
22,99,,403,,1.2,130,0.25,,,99,,0.5,,11.7,,1110,0.5,,,,,19,,9.27,,,340,360,0.015,,,1.3,32.35,5,120,,,,,,7.5,29,,,1,1,,1.86,,2.86,0.5,15,,4.38,1,1.57,23
23,100,,307,,0.5,7.6,0.25,,,4,,0.5,,10.3,,1474,3,,,,,0.2044,,0.436,,,,16,0.015,,,1.1,1.46,69,340,,,,,,,1.6,,,1,0.103,,0.543,,0.646,0.5,0.5,,17.4,1,51.9,2.5
24,105,,555,,0.6,21,0.25,,,212.8,,0.5,,42.3,,1620,0.5,,,,,4.1,,4.33,,,5.5,8,0.015,,,1.2,-127.4,6.5,400,,,,,,0.05,0.05,,,1,0.81,,1.16,,1.97,0.5,0.53,,4.5,1,1.73,0.59
25,106,,203,,0.5,9.7,0.25,,,210,,0.85,,25.7,,1750,0.5,,,,,0.08,,3.86,,,900,920,0.015,,,3.8,122.8,1800,79,,,,,,0.05,0.05,,,1,0.614,,1.29,,1.904,0.5,0.85,,6.46,1,22.7,2.5
26,107,,406,,0.5,32,0.25,,,4.6,,0.5,,9.8,,1000,0.5,,,,,-0.385,,1.59,,,19,20,0.015,,,1.4,2.92,17,240,,,,,,0.05,0.05,,,1.6,0.524,,0.015,,0.539,0.5,0.5,,7.12,1,11,2.5
27,108,,273.5,187.5,32,9.3,0.25,225,,4.6,10,0.5,,32.85,0.7,835.5,1.3,0,,,,24.2,,22.6,,,10,16,0.5,,,0.7,0.38,10,200,28,53.5,103.5,5,,0.05,1.5,,,1,0.0671,,0.124,,0.1911,0.5,16,810,11.185,1,7.955,34
28,109,,265,,55,19,0.25,,,4.8,,3,,24.2,,947,1.5,,,,,62.9,,28.7,,,6.7,16,0.015,,,1.1,0.97,300,220,,,,,,0.05,5.8,,,4.5,0.276,,2.25,,2.526,0.5,64,,6.9,1,19.7,63
29,110,,264,,0.5,65,0.25,,,30.4,,0.5,,9.9,,602,0.5,,,,,14.9,,6.67,,,120,128,0.015,,,1.4,12.65,40,100,,,,,,0.05,0.05,,,1,3.18,,0.478,,3.658,0.5,1.1,,3.9,1,44.6,9.1
30,112,282,270,282,1,13,0.5,344,0.1,51,0,1,,7.9,13,1094,1,,4.7,,,,,2.14,,,195,230,0.1,2.00E-05,,2.4,17,150,180,5.65,67,,,0.1,0.033,3.7,0,,5,0.26,,0.463,,0.723,0.5,1,1070,15.3,1,2.1,2.5
31,113,,225,228,0.5,140,0.25,250,,18.8,14,0.5,,13.9,1.4,547,0.5,,,,,2.7886,,4.39,,,65,68,0.015,,,1.75,4.02,1,81.5,5.8,79,,,,,5.5,0,,1,0.187,,-0.198,,1.187,0.5,1,540,,1,0.741,2.4
32,115,,143,,0.5,7.4,0.25,,,82,,0.5,,2460,,5330,0.5,,,,,2.48,,10.5,,,260,288,0.015,,,8,20.92,16,1200,,,,,,,0.05,,,1,1.32,,1.72,,3.04,4.9,7.8,,5.72,1,0.323,2.5
33,123,,,,3,,,,,,,5,,,,,,,,,,4,,7.2,,,,,,,,,,120,,,,,0.3,,,,,,,,,,,,,1,,,,,300
34,140,,,172,,,,210,,94,0,,,,13,,,,,,,,,,,,360,,,4.00E-05,,,30,,,,,,,,,,,,,,,,,,,,682,,,,
35,144,,248,,0.53,29,0.25,,,170,,0.5,,17,,1836,0.5,,,,,33.288,,45,,,,640,0.015,,,2.2,52.53,84,210,,,,,,,2.4,,,1,0.0838,,0.697,,0.7808,0.5,9.5,,14.7,1,1.4,110
36,148,,308,,2,130,0.25,,,27,,0.5,,69.6,,1020,0.6,,,,,31.3,,13.9,,,110,112,0.015,,,2,11.67,1,200,,,,,,0.05,1,,,1,2.4,,0.989,,3.389,0.5,4,,6.9,1,1.04,26
37,156,,143,,2.4,43,0.25,,,17.6,,0.5,,1.16,,332,2.4,,,,,12.2,,35.4,,,57,55.2,0.015,,,35,3.4,6.6,33,,,,,,0.05,0.05,,,2.2,0.948,,0.566,,1.514,0.5,0.8,,6.82,1,22.4,5.2
38,157,,,363,1,,,443,,27,0,,,8.5,4.5,,,,,,,,,,,,79,,0.5,1.00E-05,,2.8,2.9,,180,8.8,83,,,3.3,,,,,200,,,,,,,3,920,,,,
39,163,296,,303,1,100,18,375,0.125,10.9,5.9,3,,47,2.5,,3,,0.7,,,,,,,,36.8,,0.1,,,3.28,2.24,23.7,630,48,97,,0.443,0.1,0.033,0.443,0,,5,0.6,,1.9,,,0.36,1,2800,32.8,0.24,0.55,
40,173,,,369,,,,450,,5,0,,,160,,,,,,,,,,,,,20,,,,,,,,,,,780,0,,,,,,,,,,,,,,,,,,
41,174,,256,,1.1,24,0.25,,,26,,0.5,,28.1,,786,0.5,,,,,,,17.9,,,,52,0.015,,,6.2,26,3.1,160,,,,,,,1.4,,,1.7,0.181,,0.529,,,0.5,1.3,,,1,2.65,4.1
42,175,,463,,8.3,60.8,1,,,4.57,,1,,36.8,,1227,1,,5.26,,,20.951,,12.7,,,,16,0.066,,,2.33,1.49,4,251,,,,,,,2.2,,33,14,0.447,,3.55,,1.0523,3,7.4,,15.3,5,4.615,29
43,198,,497,,0.5,93,0.25,,,137.6,,0.5,,4.62,,1462,0.5,,,,,2.7156,,7.66,,,,680,0.015,,,1,81.72,5.4,16,,,,,,,16,,,1,0.0844,,0.755,,0.8394,1.9,1.2,,,1,0.363,11
44,226,,219,,0.5,25,0.25,,,132.8,,0.5,,7.74,,2340,0.5,,,,,7.373,,13,,,,670,0.015,,,10,82.2,29,330,,,,,,,1.2,,,1,0.414,,1.51,,1.924,0.5,0.5,,,1,18.5,2.5
45,227,,261,,0.5,11,0.25,,,4.8,,0.5,,14.4,,1441,0.5,,,,,1.5914,,-2.85,,,,12,0.015,,,1.1,0,14,330,,,,,,,0.05,,,1,0.117,,0.719,,0.836,0.5,0.5,,22.3,1,8.39,2.5
46,228,,188,,1.4,15,0.25,,,188,,0.5,,5.6,,1167,0.5,,,,,,,3.09,,,,630,0.015,,,1.8,39,4,27,,,,,,,1.1,,,1,0.256,,0.787,,1.043,0.5,1.4,,,1,0.411,2.2
47,232,,283,,5,200,1,,,18.4,,1,,12.65,,669,1,,5.05,,,10.8,,5.59,,,,66,0.066,,,1.575,5.67,4.69,123,,,,,,0.033,2.4,,40,3.3,1.66,,2.66,,0.533,3.6,5,,15,5,2.167,10
48,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223880597
49,273,,568,,8.53,150,1,,0.295,115,,1,,24.05,,1815,1.03,,5.26,,,5.46,,5.35,,,,500,0.066,,,6.42,46.32,122,236.5,,,,,,0.1,8,,76,3.3,0.464,,1,,0.694,3,5,,16.8,5,3.2255,2.2
50,275,,,,7.6,64.4,2,,,6.76,,2,,,,930,5,,,,,4.39,,2.51,,,,,0.071,,,1.28,7.23,4,259,,,,,,,,,206,3,0.056,,0.416,,,10,18.13617031,,27.4,10,,8.073134328
51,276,,,,8.2,9.5,2,,,4.02,,2,,,,296,5,,,,,0.25,,4.53,,,,,0.19,,,4.89,0.945,43.3,59.6,,,,,,,,,138,1.5,0.053,,0.301,,,10,5,,18.4,10,,0.691044776
52,277,,,,4,125,2,,,43.5,,2,,,,653,5,,,,,3.87,,4.38,,,,,0.071,,,2.91,31.3,96.4,80.3,,,,,,,,,-250,16.8,0.221,,0.191,,,10,5,,22.3,10,,4.804477612
53,278,,,,10,38.9,0.21,,,16.5,,2,,,,479,5,,,,,4.6,,2.87,,,,,0.19,,,3.08,26.5,4,48.2,,,,,,,,,244,3,0.043,,0.368,,,10,5,,18.3,10,,5.553731343
54,279,,,,2.8,20.2,2,,,35.2,,2,,,,187,5,,,,,1.14,,1.04,,,,,0.071,,,1.53,3.54,0.59,6.52,,,,,,,,,249,2.3,0.091,,0.212,,,10,5,,24,10,,1.310447761
55,280,,,,10,13,2,,,28.4,,2,,,,182,5,,,,,2,,2.35,,,,,0.05,,,1.32,4.91,1.6,7.92,,,,,,,,,265,3,0.068,,0.144,,,10,11.16832288,,23.1,3.6,,3.735820896
56,281,,,,6.6,34.5,2,,,46.8,,2,,,,983,5,,,,,3.77,,2.98,,,,,0.072,,,1.91,62,29.4,129,,,,,,,,,115,3,0.019,,0.275,,,10,5,,20,10,,4.591044776
57,282,,,,10,114,0.29,,,50.4,,1.1,,,,589,5,,,,,2.93,,9.62,,,,,0.084,,,4.38,32.6,20.1,43.1,,,,,,,,,172,10.3,0.098,,0.824,,,10,14.8,,16.6,10,,5.617910448
58,283,,,,10,278,0.38,,,35.2,,2,,,,287,5,,,,,1.95,,1.92,,,,,0.14,,,2.01,18.6,4,6.95,,,,,,,,,230,3,0.102,,0.65,,,10,5,,21.2,10,,2.729850746
59,284,,,,7.2,149,0.33,,,33.8,,2,,,,358,5,,,,,3.23,,8.5,,,,,0.087,,,6.61,21.3,0.76,20.6,,,,,,,,,255,3,0.217,,0.681,,,10,2.8,,21.7,10,,5.652238806
60,285,,,,10,282,0.25,,,35.3,,2,,,,299,5,,,,,1.14,,2.25,,,,,0.13,,,2.35,18.5,4,7.17,,,,,,,,,220,4.2,0.099,,0.864,,,10,5,,23.5,10,,2.362686567
61,286,,,,10,27.7,0.1,,,28.9,,2,,,,774,5,,,,,6.09,,7.23,,,,,0.13,,,4.88,58.7,14.8,76.6,,,,,,,,,160,1.6,0.061,,0.892,,,10,18.4,,21.7,10,,9.74
62,287,,,,3.3,6.8,2,,,529,,2,,,,267,5,,,,,10.3,,17.9,,,,,0.12,,,8.04,111,7.7,122,,,,,,,,,212,3,0.379,,0.946,,,10,13.2,,21.6,4,,22.69701493
63,288,,,,10,211,2,,,59.5,,2,,,,675,5,,,,,4.15,,6.59,,,,,0.17,,,3.83,54.4,23.2,27.2,,,,,,,,,122,2,0.172,,0.604,,,10,5,,22.1,10,,9.8
64,289,,,,10,32.3,0.12,,,31.1,,2,,,,856,5,,,,,19.8,,10.8,,,,,0.13,,,4.42,23.8,39.8,163,,,,,,,,,186,3,0.052,,0.333,,,10,5,,21.1,3.1,,27.87164179
65,290,,,,10,45.1,2,,,32.4,,2,,,,597,5,,,,,8.41,,7.47,,,,,0.072,,,5.06,30,0.6,73.5,,,,,,,,,181,3,0.127,,0.208,,,10,5,,23.1,10,,15.82835821
66,291,,,,10,61.9,2,,,20.7,,2,,,,413,5,,,,,1.59,,5.13,,,,,0.078,,,2.39,25.8,1.8,42,,,,,,,,,187,3,0.08,,0.217,,,10,36.41796396,,28.1,10,,17.69661026
67,292,,,,13.7,18,2,,,37.35,,2,,,,962,20,,8,0.12,,155,,92.1,,,,,0.072,,,6.9,35.9,16.4,60.35,,,,,,,1.9,,129,3,7.84,,0.422,,,10,5,,20.6,10,6,256.6119403
68,293,269,,261,5,151,0.5,295,,27.6,,2,,14,4.05,651,5,,,,,1.59,3,10.1,7,4.9,170,,0.068,1.00E-05,,6.45,24.3,39.1,86,2.82,45,,,0.05,0.033,3.1,0,225,10,0.16,,0.511,,,10,5,642,15.5,10,,2.508955224
69,294,,,,10,86.8,0.64,,,62.7,,2,,,,382,5,,,,,1.95,,4.87,,,,,0.062,,,1.98,9.91,4,16.4,,,,,,,,,200,3,0.272,,0.533,,,10,5,,21,10,,5.497014925
70,295,,,,10,154,2,,,22.4,,2,,,,332,5,,,,,4.53,,9.2,,,,,0.076,,,6.79,24.4,4,18.2,,,,,,,,,231,3,0.124,,0.016,,,10,9,,23.6,10,,7.623880597
71,296,,,,10,11.3,2,,,12.4,,2,,,,82,18.9,,,,,0.27,,1.36,,,,,0.07,,,0.823,0.805,3.4,1.59,,,,,,,,,297,3,0.074,,0.212,,,10,5,,17.3,10,,0.007462687
72,297,,,,10,98.2,2,,,47.1,,0.4,,,,238,5,,,,,1.77,,2.35,,,,,0.067,,,0.863,3.19,2.7,6.71,,,,,,,,,300,3,0.07,,0.353,,,10,5,,20.7,10,,0.720895522
73,298,,,,2.6,43.5,0.61,,,40.8,,0.38,,,,376,5,,,,,3.88,,4.14,,,,,0.13,,,1.46,7.42,12,19.8,,,,,,,,,221,2.1,0.058,,0.272,,,10,5,,17.1,10,,6.314925373
74,299,,144,,7.7,81.6,0.25,,,5.015,,2,,3.25,,423,3.8,,,,,27.1,,14.5,,,5.1,8,0.074,,,1.56,-0.335,28.8,113,,,,,,0.05,0.87,,224,3,0.535,,0.631,,1.166,10,2809.89611,,13.71,4.3,0.336,54.3865027
75,300,,,,6,10.4,1,,,2.565,,2,,,,604,20,,10,0.507,,1.4,,3.01,,,,,0.12,,,1.375,0.2585,18.7,128,,,,,,,1.5,,219,7.5,0.044,,0.719,,,10,5,,17.4,2.9,217,5.980597015
76,301,,,,10,39,0.48,,,60.4,,2,,,,606,5,,,,,12,,7.7,,,,,0.099,,,3.66,12.8,4,43.9,,,,,,,,,222,3,0.4,,0.183,,,10,13.9,,17.6,10,,15.09253731
77,302,,,,8.8,5,1,,,2.395,,2,,,,253,20,,8,0.235,,1.43,,0.987,,,,,0.1,,,0.65,0.209,3.6,60.15,,,,,,,0.42,,216,3.5,0.022,,0.183,,,10,5,,21.2,10,209,2.849253731
78,303,,,,10,152,2,,,54.2,,2,,,,287,5,,,,,2.34,,3.58,,,,,0.072,,,1.72,6.12,0.35,7.99,,,,,,,,,339,3,0.118,,0.556,,,10,5,,16.8,10,,3.853731343
79,304,,,,0.41,198,2,,,29.2,,2,,,,361,5,,,,,1.2,,3.1,,,,,0.05,,,2.29,22.3,4,16,,,,,,,,,214,3,,,2.3,,,10,4.28,,9.4,10,,4.776119403
80,305,,284,,11,46.6,2,,,13.6,,0.5,,,,1347,5,,,,,42.5,,22.6,,,76,75,0.05,,,2.43,15,14.1,279,,,,,,0.05,0.74,,206,25.4,,,1.8,,0.114,10,38,,10.75,10,11,59.70149254
81,306,,,,8.4,26.2,2,,,52,,2,,,,746,5,,,,,6.18,,5.24,,,,,0.017,,,3.01,17.9,0.36,87.4,,,,,,,,,186,3,0.034,,0.84,,,10,5,,26.4,10,,11.28208955
82,307,,,,6.7,2.3,2,,,8.87,,2,,,,498,5,,,,,3.53,,5.24,,,,,,,,5.435,8.095,0.38,86,,,,,,,,,220,2.9,0.016,,0.917,,,10,8.8,480,24.4,10,,5.094029851
83,308,,,,75,3,2,,,0.805,,2,,,,699,5,,,,,9.08,,9.25,,,,,,,,3.85,0.2,4,180,,,,,,,,,150,3,0.02,,0.551,,,10,109.6644747,740,18.8,10,,12.94179104
84,309,,,,31.233905,67,2,,,17.05,,2,,,,765,5,,,,,6.47,,7.6,,,,,,,,2.8,10.5,0.27,157,,,,,,,,,214,3,0.059,,0.353,,,10,29.87292905,868,18.4,10,,12.16722106
85,310,,,,30.8215198,30.5,2,,,62.6,,2,,,,1257,5,,,,,3.7,,5.29,,,,,0.013,,,3.17,26.3,0.14,179,,,,,,,,,116,3,0.106,,0.565,,,10,25.4424867,,22.8,10,,11.6711158
86,311,,,,10.9,4.2,2,,,30.15,,2,,,,988,8,,,,,2.14,,1.4,,,,,,,,0.85,12.3,0.13,163,,,,,,,,,115,3,0.0182,,0.4,,,10,8.4,946,22.05,10,,4.820895522
87,312,,,,3.2,1020,2,,,51.8,,2,,,,694,5,,,,,0.032,,8,,,,,0.05,,,5.15,21.1,19.5,60.9,,,,,,,,,564,3,0.072,,0.215,,,4.9,5,,13.3,10,,
88,313,,,,4.109735233,3,2,,,9.98,,2,,,,471,5,,,,,3.09,,6.46,,,,,0.011,,,5.55,4.87,4,98.8,,,,,,,,,157,3,0.015,,0.599,,,10,5,,22.2,10,,6.51641791
89,314,,,,10,8.4,2,,,30.8,,2,,,,656,5,,,,,1.54,,6.29,,,,,0.019,,,6.11,17.5,97.4,93,,,,,,,,,198,3,0.032,,0.439,,,10,5,,25.9,10,,1.911940299
90,315,,,,5.850780604,6.7,2,,,13.3,,2,,,,526,5,,,,,2.16,,4.97,,,,,0.014,,,4.43,8.76,0.35,73.4,,,,,,,,,205,4.1,0.073,,0.559,,,10,5,,35.1,10,,3.180597015
91,316,,,,4.892519741,1030,2,,,53.7,,2,,,,705,5,,,,,0.373,,5.23,,,,,0.05,,,5.36,21.8,12.6,63.4,,,,,,,,,448,3,0.069,,0.346,,,4.9,5,,14.5,10,,0.546767655
92,318,,,,3.6,0.8,2,,,20.9,,2,,,,520,5,,,,,4.33,,9.08,,,,,0.015,,,6.05,16.3,15.9,61.7,,,,,,,,,241,5.6,0.05,,0.768,,,10,3.6,,28.5,10,,3.082089552
93,319,,,,5,2,2,,,0.62,,2,,,,896,5,,,,,1.52,,1.83,,,,,,,,1.8,0.1,3.8,170,,,,,,,,,108,3,0.03,,0.592,,,10,5,717,18.1,10,,0.274626866
94,320,,,,10,2,2,,,17.9,,2,,,,658,5,,,,,1.03,,8.82,,,,,,,,6.34,13.05,4,95,,,,,,,,,179,3,0.0255,,0.437,,,10,2.5,589,25.1,6.4,,2.02238806
95,321,,,,4.5,3.1,2,,,49.3,,2,,,,1357,5,,,,,4.49,,5.63,,,,,0.05,,,4.72,20.8,0.55,215,,,,,,,,,160,3,0.022,,0.942,,,10,5,,24,10,,7.132835821
96,322,,,,2.6,17.9,2,,,14.9,,2,,,,1077,5,,,,,0.965,,18.9,,,,,0.05,,,15.2,32.4,0.33,196,,,,,,,,,171,3,0.025,,0.203,,,10,5,,21.1,10,,1.27761194
97,323,,,,2,1060,2,,,53,,2,,,,697,5,,,,,0.096,,6.23,,,,,0.05,,,5.22,21.4,27.1,62.9,,,,,,,,,537,3,0.062,,0.552,,,10,5,,15.4,10,,0.108955224
98,324,,,,21.4,2.1,2,,,8.9,,2,,,,1240,5,,,,,13.1,,8.8,,,,,0.05,,,4.44,0.951,10.8,292,,,,,,,,,131,3,0.0205,,0.917,,,10,5,,23.1,3.2,,20.27164179
99,325,,,,9.337629763,15.6,2,,,2,,2,,,,1013,5,,,,,1.81,,4.53,,,,,,,,6.3,0.741,2,240,,,,,,,,,153,3,0.041,,0.425,,,10,5,1005,19.7,10,,2.249253731
100,326,,,,,17.5,2,,,7.85,,2,,,,641,5,,,,,6.48,,5.92,,,,,,,,2,2.89,0.28,141.5,,,,,,,,,184,3,0.068,,0.337,,,10,9.7,624,7,10,1.8,10.60447761
101,327,,,,19.9,2.5,2,,,24.15,,2,,,,512,5,,,,,12.5,,7.38,,,,,,,,2.595,15,0.4,67.1,,,,,,,,,133,3,0.03,,0.362,,,10,12.3,509,22.7,10,,11.7238806
102,328,,,,6.3,2,2,,,36,,2,,,,567,5,,,,,6.11,,6.59,,,,,,,,6.2,19,4.9,82,,,,,,,,,133,3,0.038,,0.504,,,10,4,642,20,10,,10.41641791
103,329,,,,3,0.74,2,,,58.1,,2,,,,845,5,,,,,6.05,,9.41,,,,,,,,7.28,52.5,0.1,33.75,,,,,,,,,114,3,0.019,,0.215,,,10,1.7,685,20.35,10,,10.93731343
104,330,,,,6.1,26,2,,,42.5,,2,,,,387,5,,,,,3.94,,6.59,,,,,,,,3.61,17.5,1.2,94.75,,,,,,,,,122,3,0.032,,0.249,,,10,6.5,1163,24.35,10,,6.640298507
105,331,,,,14.3,5.7,2,,,22.6,,2,,,,719,5,,,,,5.91,,8.98,,,,,0.05,,,7.41,17.2,3.4,86,,,,,,,,,227,3,0.017,,0.484,,,10,12.8,,26.7,10,,8.285074627
106,332,,,,4.2,0.32,2,,,45.6,,2,,,,605,5,,,,-26.5,53.9,,10.4,,,,,0.05,,,6.66,26.2,4,45.4,,,,,,,,,134,3,0.23,,0.55,,0.78,10,4.4,,23.6,10,,179.1044776
107,333,,,,16.4,8,2,,,1.2,,2,,,,782,5,,,,,1.11,,1.74,,,,,,,,1.74,0.1145,1.4,127,,,,,,,,,121,3,0.029,,0.591,,,10,5,482,21.05,10,,0.125373134
108,334,,,,2.4,0.86,2,,,52.5,,2,,,,620,5,,,,,4.76,,7.14,,,,,0.05,,,5.94,13,4,29.9,,,,,,,,,126,3,0.028,,0.409,,,10,5,,23.8,10,,6.849253731
109,335,,,,28.5,1.3,2,,,7.6,,2,,,,420,4.841817729,,,,,5.27,,6.41,,,,,0.05,,,3.71,4.52,0.43,82.6,,,,,,,,,204,3,0.024,,0.325,,,10,29.07474723,,0,3.1,,10.7718739
110,336,,,,2.4,1080,2,,,53.9,,2,,,,693,5,,,,,0.763,,5.47,,,,,0.05,,,5.37,21.9,29.8,64.3,,,,,,,,,526,3,0.055,,0.655,,,2,5,,13.4,3.2,,0.029850746
111,337,,288,,110,32.7,2,,,2.1,,2,,12,,1000,5,,7.09,,,11.1,,4.62,,,,10,,,,1.89,0.223,4.88,186,,,,,,,1.3,,89.5,3.3,0.451,,2.3,,0.304,10,5,793,15,10,6.04,13.47761194
112,338,,,,19,11,2,,,120,,2,,,,784,5,,,,,16.6,,20.7,,,,,,,,20,54,230,720,,,,,,,,,188,3,0.423,,0.834,,,10,33.76313455,4970,19.5,10,,23.18358209
113,339,,,,52,5,2,,,1,,2,,,,782,20,,9,0.766,,2.47,,4.82,,,,,,,,3.8,0.11,2,180,,,,,,,0.12,,185,5,0.032,,0.19,,,10,44,795,19.7,10,150,1.185481457
114,340,,,,,14.1,2,,,509,,2,,,,6890,5,,,,,140,,155,,,,,0.02,,,15.5,169,651,1370,,,,,,,,,212,3,0.047,,0.413,,0.2,10,149,,20.2,3.3,,284.6716418
115,341,,,,10,1120,2,,,55.1,,2,,,,694,5,,,,,0.344,,5.25,,,,,0.05,,,5.44,22.1,48.6,64.7,,,,,,,,,486,3,0.058,,0.591,,,5.6,5,,14.6,10,,0.331343284
116,342,,229,,237,15.6,2,,,1.8,,2,,88.4,,964,20,,6,0.716,,26.8,,19.8,,,,8,,,,2.6,0.307,32,150,,,,,,,1.9,,195,2,0.049,,0.309,,0.3194,10,190,708,16.3,10,2.605,50.34626866
