well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
315,Unknown,5.850780604,6.7,13.3,,5,,,4.1,,5,3.180597015,
316,Unknown,4.892519741,1030,53.7,,5,,,3,,5,0.546767655,
318,Unknown,3.6,0.8,20.9,,5,,,5.6,,3.6,3.082089552,
319,Unknown,5,2,0.62,,5,,,3,,5,0.274626866,
320,Unknown,10,2,17.9,,5,,,3,,2.5,2.02238806,
321,Unknown,4.5,3.1,49.3,,5,,,3,,5,7.132835821,
322,Unknown,2.6,17.9,14.9,,5,,,3,,5,1.27761194,
323,Unknown,2,1060,53,,5,,,3,,5,0.108955224,
324,Domestic,21.4,2.1,8.9,,5,,,3,,5,20.27164179,
325,Unknown,9.337629763,15.6,2,,5,,,3,,5,2.249253731,
326,Unknown,,17.5,7.85,,5,,,3,,9.7,10.60447761,
327,Unknown,19.9,2.5,24.15,,5,,,3,,12.3,11.7238806,
328,Unknown,6.3,2,36,,5,,,3,,4,10.41641791,
329,Unknown,3,0.74,58.1,,5,,,3,,1.7,10.93731343,
330,Unknown,6.1,26,42.5,,5,,,3,,6.5,6.640298507,
331,Unknown,14.3,5.7,22.6,,5,,,3,,12.8,8.285074627,
332,Unknown,4.2,0.32,45.6,,5,,,3,0.78,4.4,179.1044776,
333,Unknown,16.4,8,1.2,,5,,,3,,5,0.125373134,
334,Unknown,2.4,0.86,52.5,,5,,,3,,5,6.849253731,
335,Unknown,28.5,1.3,7.6,,4.841817729,,,3,,29.07474723,10.7718739,
336,Unknown,2.4,1080,53.9,,5,,,3,,5,0.029850746,
337,Domestic,110,32.7,2.1,,5,,,3.3,0.304,5,13.47761194,
338,Domestic,19,11,120,,5,,,3,,33.76313455,23.18358209,
339,Unknown,52,5,1,,20,,,5,,44,1.185481457,
340,Unknown,,14.1,509,,5,,,3,0.2,149,284.6716418,
341,Unknown,10,1120,55.1,,5,,,3,,5,0.331343284,
342,Domestic,237,15.6,1.8,,20,,,2,0.3194,190,50.34626866,
343,Unknown,11.6,32.4,20.9,,5,,,3,,3.6,18.61343284,
344,Unknown,10,1210,56,,5,,,3,,5,0.086567164,
345,Domestic,170,6,2.815,,20,,,3,,170,5.750746269,
346,Unknown,10,13.9,9.18,,5,,,2.4,,4.4,7.467164179,
347,Unknown,10,12.5,21.1,,5,,,3,,25.9,12.15522388,
348,Unknown,6,87.5,16,,10.2,,,3,,3.2,24.4641791,
350,Unknown,3.5,88.2,56.6,,5,,,3,,2.9,16.10447761,
351,Unknown,10,99.9,86.2,,5,,,2.4,,5,16.52985075,
352,Livestock,10,9.1,52.4,,5,,,3,,5,108.9701493,
353,Unknown,6.2,21.8,112,,5,,,1.3,,5,0.488059701,
354,Unknown,10,20.1,271,,5,,,3,2.55,39.8616919,98.50746269,
355,Domestic,10,7.6,178.5,,20,,,3,,17.91369187,11.05373134,
356,Unknown,10,11.1,11.7,,4.8,,,3,,208,18.76716418,
357,Unknown,10,45.5,176,,5,,,3,5.77,93.68896105,157.1843347,
358,Unknown,10,99.9,106,,5,,,3,,3.3,13.86268657,
359,Unknown,2.8,58.3,145,,2.8,,,9.7,,6.9,20.3119403,
360,Unknown,10,7.2,210,,5,,,3,,5,1.48358209,
361,Unknown,10,28.9,402,,5,,,3,,2.5,7.653731343,
362,Unknown,10,84.7,56.3,,5,,,1.3,,5,8.435820896,
363,Unknown,44.1,8.2,3.63,,17.1,,,2.3,,5,25.36567164,
364,Unknown,10,51.2,80.1,,5,,,3,,19.2,13.90597015,
365,Unknown,10,42.4,27.8,,5,,,3,,2.9,59.58358209,
366,Unknown,3.4,44.5,544,,17.3,,,6.3,,5,89.64179104,
367,Unknown,10,15.2,451,,5,,,1.5,,69.4,70.33731343,
368,Livestock,28.5,3.7,0.997,,29.7,,,1.7,,5,17.87462687,
369,Domestic,10,18,3.75,,20,,,15.9,,5,3.62238806,
370,Livestock,10,10.8,11.5,,5,,,3,,13.82261682,1.427623029,
371,Unknown,5.3,2.2,0.667,,10.8,,,3.7,,5,3.394029851,
372,Unknown,10,20.1,120,,5,,,3,,4.3,3.780597015,
373,Domestic,10,20.5,475.5,,20,,,2.4,,5,1.67761194,
374,Unknown,17.2,4.1,1.95,,4.9,,,3,,5,1.586567164,
375,Unknown,10,52.8,34.2,,5,,,3,,5,8.497014925,
